filename,total_words,english_only,danish_only,ambiguous,neither
output_STEM_20250611_133533_2.txt,302,0,198,92,12
output_STEM_20250611_133543_3.txt,335,0,216,110,9
output_STEM_20250611_133554_4.txt,363,0,231,118,14
output_STEM_20250611_133604_5.txt,313,0,193,116,4
output_STEM_20250611_133612_6.txt,249,0,148,94,7
output_STEM_20250611_133621_7.txt,298,1,191,100,6
output_STEM_20250611_133632_8.txt,325,3,184,112,26
output_STEM_20250611_133642_9.txt,372,0,237,123,12
output_STEM_20250611_133651_10.txt,295,0,197,98,0
output_STEM_20250611_133702_11.txt,315,8,189,101,17
output_STEM_20250611_133859_1.txt,324,0,198,106,20
output_STEM_20250611_133909_2.txt,345,0,231,108,6
output_STEM_20250611_133919_3.txt,329,0,229,89,11
output_STEM_20250611_133930_4.txt,372,0,231,124,17
output_STEM_20250611_133941_5.txt,339,0,219,118,2
output_STEM_20250611_133950_6.txt,275,1,164,100,10
output_STEM_20250611_133959_7.txt,293,0,177,107,9
output_STEM_20250611_134009_8.txt,299,3,178,100,18
output_STEM_20250611_134019_9.txt,326,0,210,103,13
output_STEM_20250611_134028_10.txt,312,0,197,110,5
output_STEM_20250611_134039_11.txt,356,3,199,118,36
output_STEM_20250611_134126_1.txt,313,0,205,92,16
output_STEM_20250611_134136_2.txt,352,0,221,117,14
output_STEM_20250611_134148_3.txt,385,1,264,115,5
output_STEM_20250611_134159_4.txt,347,0,229,108,10
output_STEM_20250611_134209_5.txt,292,0,200,88,4
output_STEM_20250611_134217_6.txt,223,0,141,77,5
output_STEM_20250611_134226_7.txt,302,0,189,109,4
output_STEM_20250611_134237_8.txt,317,1,195,100,21
output_STEM_20250611_134247_9.txt,334,1,209,113,11
output_STEM_20250611_134256_10.txt,337,0,208,127,2
output_STEM_20250611_134308_11.txt,358,1,215,109,33
output_STEM_20250611_135201_1.txt,342,1,205,115,21
output_STEM_20250611_135212_2.txt,328,0,213,103,12
output_STEM_20250611_135223_3.txt,381,0,276,101,4
output_STEM_20250611_135234_4.txt,367,0,241,115,11
output_STEM_20250611_135244_5.txt,301,1,189,109,2
output_STEM_20250611_135253_6.txt,266,1,159,98,8
output_STEM_20250611_135302_7.txt,297,0,183,106,8
output_STEM_20250611_135312_8.txt,302,2,180,91,29
output_STEM_20250611_135322_9.txt,339,0,225,106,8
output_STEM_20250611_135331_10.txt,307,0,199,107,1
output_STEM_20250611_135342_11.txt,330,1,206,103,20
output_STEM_20250611_135554_1.txt,330,0,210,100,20
output_STEM_20250611_135605_2.txt,385,1,261,109,14
output_STEM_20250611_135615_3.txt,307,0,211,87,9
output_STEM_20250611_135625_4.txt,328,0,206,112,10
output_STEM_20250611_135635_5.txt,275,0,175,97,3
output_STEM_20250611_135644_6.txt,271,1,159,103,8
output_STEM_20250611_135653_7.txt,299,1,181,110,7
output_STEM_20250611_135704_8.txt,335,6,185,114,30
output_STEM_20250611_135713_9.txt,327,0,209,110,8
output_STEM_20250611_135722_10.txt,273,0,176,96,1
output_STEM_20250611_135733_11.txt,379,9,225,125,20
output_STEM_20250611_135813_1.txt,361,1,226,111,23
output_STEM_20250611_135823_2.txt,328,2,213,106,7
output_STEM_20250611_135834_3.txt,336,0,233,97,6
output_STEM_20250611_135844_4.txt,379,0,235,132,12
output_STEM_20250611_135854_5.txt,321,0,207,109,5
output_STEM_20250611_135903_6.txt,274,4,162,89,19
output_STEM_20250611_135913_7.txt,304,0,191,105,8
output_STEM_20250611_135923_8.txt,280,1,162,95,22
output_STEM_20250611_135933_9.txt,341,0,204,120,17
output_STEM_20250611_135942_10.txt,293,0,185,107,1
output_STEM_20250611_135953_11.txt,351,0,216,120,15
output_STEM_20250611_141240_1.txt,328,0,207,102,19
output_STEM_20250611_141251_2.txt,336,1,223,102,10
